Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
2022-04-27 23:58:25+00:00,1.51947E+18,#SaveMariupolNow #SaveMariupol #EXTRACTION,Avgreyd1,0,Ed One,und
2022-04-27 23:58:22+00:00,1.51947E+18,#SaveMariupol https://t.co/41OUEobKkz,PinkyMinky3,1,Ginna Keulen 🆘 🇺🇦,und
2022-04-27 23:56:49+00:00,1.51947E+18,#MariupolNow #Mariupol #AzovstaI #SaveMariupol #StandUpForUkraine #StandWithUkraine #UkraineUnderAttaсk #UkraineUnderSiege https://t.co/IJtziikGXu,Europaetal,1,Atlantia,und
2022-04-27 23:56:09+00:00,1.51947E+18,"日本の市民は行動しよう
ここまでのところ日本の市民が問題でもっともおとなしいと思う
大使館前に抗議に行こう
抗議のファックス、手紙を送ろう
#SaveMariupol
#НетВойне https://t.co/IQpdleJs8f",democracy_sakai,0,坂井 正明 Masaaki SAKAI,ja
2022-04-27 23:53:51+00:00,1.51946E+18,"Heartbreaking account by a #Mariupol doctor. “One day we admitted two kids with serious head injuries. 10 and 16. There was nothing we could do. We gave them painkillers, covered with blankets and let them die…”.

#SaveMariupol #StandWithUkraine #StopRussiaNow #ArmUkraineNow https://t.co/BFLt43Qgf1",David97780292,0,David,en
2022-04-27 23:48:28+00:00,1.51946E+18,"The world has joined the #SaveMariupol campaign. In front of theaters in Prague, Copenhagen, Lisbon, Vienna,Tbilisi and a dozen other cities,the inscription ""ДЕТИ""(children) is reproduced with candles💔#Ukraine #UkraineRussiaWar #StandWithUkraine #StopRussianAggression #Mariupol https://t.co/jT4RBBIxs5",NadiafromUA,4,Nadia P,en
2022-04-27 23:41:09+00:00,1.51946E+18,"#StandUpForUkraine 
#StandWithUkraine 
#StopRussia 
#ArmUkraine 
#SaveMariupol https://t.co/raFnr15GOk",IsabelDiogo,1,Isabel Diogo🇵🇹,und
2022-04-27 23:39:40+00:00,1.51946E+18,"日本の市民はますます声をあげよう
卑劣な侵略と戦争犯罪に抗議するのは当然である
日本の市民は臆病の壁をぶち破ろう
#SaveMariupol
#НетВойне https://t.co/P52dVX76E2",democracy_sakai,3,坂井 正明 Masaaki SAKAI,ja
2022-04-27 23:37:06+00:00,1.51946E+18,"#VladimirPutinIsAMurderer, 
@KremlinRussia_E

#WarCrimes,#GOPUTIN,
@GOP

#PsychopathicKiller,
@FOXTV

 🦊🦊#FOXTVPROPAGANDAKILLS,
Putin needs to be dealt with, before we are all ""Blown Up"" sadly,#SaveMariupol https://t.co/r5WAqgttfE",remirol1956,1,Andrew Lorimer,en
2022-04-27 23:37:00+00:00,1.51946E+18,"At least twice a day I #think about how Ferris Bueller's lack of a #car made him indifferent to #europeans becoming #fascist #anarchists 

#hollywood #movies #suburbs #saveferris #SaveMariupol #ShowerThoughts",pistacheofarmer,1,Vandad K,en
2022-04-27 23:36:05+00:00,1.51946E+18,"@CanadianUkrain1 Zelenskyy was right. US failure to put up a NFZ would leave us with blood on our hands.

@WHCOS @POTUS @NATO @DeptofDefense @OlafScholz @EmmanuelMacron #SaveMariupol",EchoOmens,1,MakePutinPay,en
2022-04-27 23:34:59+00:00,1.51946E+18,"Hey @elonmusk 
How about you make this happen!
#SaveMariupol",laurammathis,0,Laura's Thoughts💙💛🇺🇦,en
2022-04-27 23:32:00+00:00,1.51946E+18,"500人以上の負傷した #Ukrainianディフェンダー が #Mariupol の #Azovstal 製鉄所でブロックされています。 1時間ごとに命を救うことが重要であるため、緊急の治療が必要です。
 #SaveMariupol https://t.co/6nDKDeDZjX",ariga108,0,arigato8,ja
2022-04-27 23:30:51+00:00,1.51946E+18,"#Russia tries to undermine efforts of the international community aimed at establishing humanitarian corridors from #Mariupol. Now, it manipulates agreements reached by Secretary-General António Guterres and Russia’s President.
#SaveMariupol https://t.co/JSeFa16nUe",interpolusa,0,Alex True,en
2022-04-27 23:25:41+00:00,1.51946E+18,"#SaveMariupol #StopRussianAggression
#Ukraine

Artist: Oksana Drachkovska https://t.co/0A8UvoCKPI",christinespad,6,Christine Spadafora,sl
2022-04-27 23:25:38+00:00,1.51946E+18,#SaveMariupol https://t.co/estFPQ0o2p,UAYuRiv,0,Yuliya,und
2022-04-27 23:25:25+00:00,1.51946E+18,"The situation in #Mariupol is critical. It may be the last chance to save people that are there now. Maximum retweets!!! https://t.co/RA2KHyUMV8 
 #SaveMariupol #kampfderrealitystars #LIVVIL #Habeck #Lanz",avg_Ukrainian,5,Average Ukrainian,en
2022-04-27 23:25:20+00:00,1.51946E+18,"The situation in #Mariupol is critical. It may be the last chance to save people that are there now. Maximum retweets!!! https://t.co/RA2KHyUf5A 
 #SaveMariupol #MoonKnight #AbhiRa #shortlandstreet #nztwits",avg_Ukrainian,0,Average Ukrainian,en
2022-04-27 23:25:18+00:00,1.51946E+18,"The situation in #Mariupol is critical. It may be the last chance to save people that are there now. Maximum retweets!!! https://t.co/RA2KHyUf5A 
 #SaveMariupol #VIVandaag",avg_Ukrainian,0,Average Ukrainian,en
2022-04-27 23:25:17+00:00,1.51946E+18,"The situation in #Mariupol is critical. It may be the last chance to save people that are there now. Maximum retweets!!! https://t.co/RA2KHyUf5A 
 #SaveMariupol #koningsdag #Derksen #vandaaginside #LIVVIL",avg_Ukrainian,0,Average Ukrainian,en
2022-04-27 23:25:13+00:00,1.51946E+18,"The situation in #Mariupol is critical. It may be the last chance to save people that are there now. Maximum retweets!!! https://t.co/RA2KHyUf5A 
 #SaveMariupol #viverci",avg_Ukrainian,0,Average Ukrainian,en
2022-04-27 23:25:12+00:00,1.51946E+18,"The situation in #Mariupol is critical. It may be the last chance to save people that are there now. Maximum retweets!!! https://t.co/RA2KHyUf5A 
 #SaveMariupol #jeruchella #chilhavisters #Atlantide #amala",avg_Ukrainian,0,Average Ukrainian,en
2022-04-27 23:25:11+00:00,1.51946E+18,"The situation in #Mariupol is critical. It may be the last chance to save people that are there now. Maximum retweets!!! https://t.co/RA2KHyUf5A 
 #SaveMariupol #MaurizioCostanzoShow #leiene #controcorrente #Amicispoiler",avg_Ukrainian,0,Average Ukrainian,en
2022-04-27 23:25:10+00:00,1.51946E+18,"The situation in #Mariupol is critical. It may be the last chance to save people that are there now. Maximum retweets!!! https://t.co/RA2KHyUf5A 
 #SaveMariupol #BolognaInter #chilhavisto #animeselcaday #unapezzadilundini",avg_Ukrainian,0,Average Ukrainian,en
2022-04-27 23:25:08+00:00,1.51946E+18,"The situation in #Mariupol is critical. It may be the last chance to save people that are there now. Maximum retweets!!! https://t.co/RA2KHyUf5A 
 #SaveMariupol #ЛигаЧемпионов",avg_Ukrainian,0,Average Ukrainian,en
2022-04-27 23:25:08+00:00,1.51946E+18,"The situation in #Mariupol is critical. It may be the last chance to save people that are there now. Maximum retweets!!! https://t.co/RA2KHyUf5A 
 #SaveMariupol #teirdarbs #kopāparukrainu #democracyallies #techchill2022",avg_Ukrainian,0,Average Ukrainian,en
