Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
2022-04-27 23:58:05+00:00,1.51947E+18,"Some more photos of Saint Javelin by the amazing @EPAKIM1 

Available in our store https://t.co/Jyzb8Vduyu (all profits: ~$18 go to Ukraine aid)

#SaintJavelin #StandWithUkraine #Ukraine #СлаваУкраїні #SupportUkraine #SlavaUkraini https://t.co/Fm3rii1pkf",SupportUA_art,9,SupportUkraine.art - all profits go to Ukraine,en
2022-04-27 23:52:00+00:00,1.51946E+18,"How the #Ukrainian Armed Forces destroy the occupants' equipment 
#StopRussianAggression #StopPutin #StandWithUkraine #SupportUkraine https://t.co/jRJKf9yarP",VigilantinfoN,3,Vigilant News,en
2022-04-27 23:46:35+00:00,1.51946E+18,"The United States is telling allies to ""move every stone"" to send more weapons to Ukraine. https://t.co/W6syT3RwkU
#USA #UnitedNations #Weapon #SupportUkraine #Russia #BreakingNews",HubuNews,0,Hubu.news,en
2022-04-27 23:29:42+00:00,1.51946E+18,"1/4. Любі мої, якщо між квитком на концерт цього московитами і прозорим донатом на потреби ЗСУ ви обираєте перше, то у мене для вас погані новини. Якщо між публікацією укр.діяча і московита ви обираєте подякувати другому - все втрачено. У мене опускаються руки. #SupportUkraine https://t.co/PlALYjULMd",Sofsofsofka,0,"Sofi, a? 🇺🇦",uk
2022-04-27 22:58:24+00:00,1.51945E+18,@KyivIndependent #StandWithUkraine #SupportUkraine 🇺🇦💙💛,phyllisa99998,0,PhyllisA,und
2022-04-27 22:39:04+00:00,1.51945E+18,"Why is anyone acting stunned that a lying, murderous, SOB Russian dictator (yup, Vladimir, talking to you) is lying, murdering and threatening to continue to do so? #SupportUkraine",DemDivaCooks,2,Deb Kozikowski,en
2022-04-27 22:29:54+00:00,1.51944E+18,"https://t.co/0zuepo8zrs 

Поддержите россиян, которые хотят прекращения войны в Украине 

#UkraineCrisis #RussiaInvadedUkraine #Russia #RussiaUkraineConflict #RussiaUkraineWar #StopTheWar #SupportUkraine #StandWithUkriane #PutinsWarCrimes 

Підтримка України https://t.co/aaNhrwe5oy",jeffsdribbles,0,Jeff's Dribbles,uk
2022-04-27 22:29:02+00:00,1.51944E+18,"Canada plans to use seized Russian assets to pay Ukraine victims. #SaveUkraine #STOPputin #StandUpWithUkraine #SupportUkraine #Ukraine

https://t.co/20j8QHI0Qw",AJBpacific,0,Andrew Bobyn 💙💛,en
2022-04-27 22:25:48+00:00,1.51944E+18,"RT @DestiUSA: Grand Canyon National Park
Follow us : 🇺🇸 https://t.co/evdRRKCF79 🇺🇸
#SupportUkraine 🇺🇦
#DestinazioneUSA #StatiUniti #travelusa #travel #usa  #visitusa #exploreusa #usaroadtrip #traveler #tourist #unitedstates #visittheusa #GrandCanyonNati… https://t.co/TMpz0lmMfK",oomobile,0,oomobile,en
2022-04-27 22:25:01+00:00,1.51944E+18,"Thank you for this beautiful #SupportUkraine #Prague, #Copenhagen, #Lisbon, #Vienna and others! 💛💙 https://t.co/2w9PyMd3Y1",ZeSpeeches,1,Ze! Speeches,en
